	6020.SRR12919063	6052.SRR12919052	6049.SRR12919053	6008.SRR12919096	6010.SRR12919077	6011.SRR12919095	5051.SRR12919114	5039.SRR12919102	5003.SRR12919090	5017.SRR12919046	6021.SRR12919069	5026.SRR12919043	6040.SRR12919057	6002.SRR12919143	5048.SRR12919039	6035.SRR12919058	5050.SRR12919079	5010.SRR12919134	6047.SRR12919059	6013.SRR12919075	5052.SRR12919038	6043.SRR12919056	5028.SRR12919145	6026.SRR12919118	6012.SRR12919076	6050.SRR12919065	5012.SRR12919087	6014.SRR12919094	6023.SRR12919119	6042.SRR12919135	6005.SRR12919141	6003.SRR12919142	5021.SRR12919107	6018.SRR12919071	5014.SRR12919148	6016.SRR12919064	5038.SRR12919041	6038.SRR12919136	5019.SRR12919108	6027.SRR12919067	6044.SRR12919112	6037.SRR12919137	6024.SRR12919092	5023.SRR12919146	5047.SRR12919125	5015.SRR12919086	6033.SRR12919060	6029.SRR12919062	5032.SRR12919083	5022.SRR12919044	5030.SRR12919120	5002.SRR12919091	5035.SRR12919105	5016.SRR12919147	5040.SRR12919101	5033.SRR12919144	6019.SRR12919103	5020.SRR12919045	5004.SRR12919051	5044.SRR12919040	5042.SRR12919036	5006.SRR12919049	5029.SRR12919121	5011.SRR12919109	6051.SRR12919074	5024.SRR12919106	5009.SRR12919047	5036.SRR12919104	6004.SRR12919097	5034.SRR12919082	5008.SRR12919088	6039.SRR12919066	6030.SRR12919061	5049.SRR12919098	5018.SRR12919085	6028.SRR12919117	6046.SRR12919054	5037.SRR12919037	5041.SRR12919100	6006.SRR12919140	6041.SRR12919113	6031.SRR12919116	6036.SRR12919138	6048.SRR12919111	6015.SRR12919072	6025.SRR12919081	5013.SRR12919034	6045.SRR12919055	5031.SRR12919042	6034.SRR12919115	5043.SRR12919099	5007.SRR12919089	5005.SRR12919050	6001.SRR12919078	5025.SRR12919084	5046.SRR12919080	6032.SRR12919070	6022.SRR12919068	5001.SRR12919073
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionicicella																																												9																																																							
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionimicrobium												108																						76									22																						37	26				20									7																				
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Tessaracoccus												50									4	11												344						15												10							5			7								53								9	5						2		6	37											
Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia																																												15																																																							
Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales																																																																														3																					
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales																																		61																																				5									6													28							
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae									2																																																																																										
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium	92	155	1063		3661	20	885		842		152	1175	10	1143			10	1304	1401		104		460		1958			1284	2492		2277	6			4				2922	801	762			1934	2203	296		17			1094	33	267	7	750	2605	1782		1330	290	190	258		6682			322	695			22			79	2900		439	72		42			842			3639		10			31	68	1727		4864	405	3657		9687
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella																				5																				28											27											16																														9							
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis																																								2																																																											
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae																												3																																																																					2		
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809		26	1951		1999	11	196		7		112	102		211				995					33		1917			263	760										742	20	285			72	303						209		390	17	343		219		736	206	183	47		468			167	176							104								345			631						12	292		3387	236	868		639
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus																																								3																																																											
