	5025.SRR12919592	6008.SRR12919531	6019.SRR12919571	5031.SRR12919543	6012.SRR12919530	5022.SRR12919612	5016.SRR12919570	5034.SRR12919504	5047.SRR12919585	5046.SRR12919586	5038.SRR12919610	5040.SRR12919539	6044.SRR12919509	6004.SRR12919580	6023.SRR12919527	6050.SRR12919557	5026.SRR12919591	5009.SRR12919554	5033.SRR12919589	6037.SRR12919565	6046.SRR12919561	5005.SRR12919596	6035.SRR12919514	6040.SRR12919513	6036.SRR12919566	6026.SRR12919524	5051.SRR12919535	5021.SRR12919606	6024.SRR12919525	5052.SRR12919534	5036.SRR12919602	5017.SRR12919550	5014.SRR12919552	6014.SRR12919529	5013.SRR12919613	6006.SRR12919578	6043.SRR12919510	6005.SRR12919579	5024.SRR12919526	6022.SRR12919568	5037.SRR12919601	6039.SRR12919563	6020.SRR12919569	6030.SRR12919520	6052.SRR12919556	6033.SRR12919517	6045.SRR12919562	5004.SRR12919597	5002.SRR12919599	5039.SRR12919604	6031.SRR12919519	6013.SRR12919575	5010.SRR12919494	5035.SRR12919603	5007.SRR12919594	5003.SRR12919598	6025.SRR12919567	5008.SRR12919555	5050.SRR12919583	6034.SRR12919516	6002.SRR12919533	6048.SRR12919508	6029.SRR12919521	6032.SRR12919518	5018.SRR12919549	5032.SRR12919515	5015.SRR12919551	5029.SRR12919605	6003.SRR12919532	5012.SRR12919614	5020.SRR12919559	6021.SRR12919528	6011.SRR12919576	5043.SRR12919609	6041.SRR12919512	5041.SRR12919538	6049.SRR12919558	6015.SRR12919574	5030.SRR12919544	5042.SRR12919593	5028.SRR12919590	5011.SRR12919607	6018.SRR12919572	6027.SRR12919523	6028.SRR12919522	6001.SRR12919582	5001.SRR12919600	5019.SRR12919547	5006.SRR12919595	6010.SRR12919577	5049.SRR12919536	6038.SRR12919564	6016.SRR12919573	5048.SRR12919584	5023.SRR12919611	6042.SRR12919511	6047.SRR12919560
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium	27		13										11		9				4	6	5	12					11							8	2	27									2			3						10		3	9				5			56	3														5		10	77					31	4		13							13
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;Atopobium vaginae	2																																																																																																
Bacteria;Bacteroidota;Bacteroidia																					4															1																			1																											2						2									
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales																		1									2																										2																													2								1							
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae	7																																																																																																
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas			2					4								3			3		4																										4																																																		
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae																																	3																																																																
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella																																																																																									1						3		
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella			13				8					1	4	7			6	4	4	6		9				7	5		4	4			26			5	2		4			2						7					7		4	1	3		3		3	4	3						7			2							8	4		1		3		6	5	15	10	32	3		6	2	4		
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella timonensis			1																			1																																																																											
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter																																																																													3																				
Bacteria;Cyanobacteria;Cyanobacteriia							7																																																																										14										11						
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast							6									3										7															47							4				3														14												11	28																		
Bacteria;Firmicutes															1								5				2		1			39	2	1								1			32								1	4		8									3		4		1		3											1													1		
Bacteria;Firmicutes;Bacilli								6																	12			26				32					15			21	6															1			1		1												18	32			3												1				1				3
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae																											51																																																																						
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;UCG-004																																																																																				2													
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Bulleidia																																																																2																																	
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella																																																																																									2								
Bacteria;Firmicutes;Bacilli;Lactobacillales		6		1	1	3	7	25	4		3		4	7		2	4	7	1			7	29	21		6	6		3	21	6	2	1	6		12	4		3	4		3	31	1	4	36	16		15	6		2	4	6	1	5		2	3	84	7	41	5				3	5	1	2	36		1		1	9		5				6	10	3	12	2		1	7	29	4	6	45	2	1	13	14
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus												2	8					1											2							4																															7														6																
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella																																																																																															2		
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae		2															12																		1				2												1																																														
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus																																																																																						2											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	8	250		366	31	7	286	78	35		34	3	13	69	33	11	132	28	1			74	171	40	385	180	3649	136	18	243	92	277	171	49	65	51	424	8	378	67	195	40	72	42	135	354	28	7	310	334	316	60	68	14	308	38	27	67	109	251	44	317	26	8	17	402	234	16	3	56	105		223	308	13	117	4	115	2	36		29	341	42	58	33		22	145	229	158	129	370	8	12	448	155
